base,tempo
iwin,3.22
iwin,3.22
iwin,3.38
iwin,3.4
iwin,3.12
iwin,3.32
iwin,3.46
iwin,3.36
iwin,3.32
cubu,2.66
cubu,2.36
cubu,2.52
cubu,2.86
cubu,2.22
cubu,2.82
cubu,2.14
cubu,2.64
cubu,2.56
cubu,2.68
cubu,2.34
cubu,2.66
cubu,2.72
cubu,2.28
cubu,2.7
cubu,2.5
cubu,2.56
cubu,2.62
cubu,2.28
cubu,2.32
cubu,2.72
cubu,2.74
cubu,2.74
cubu,2.7
cubu,2.68
cubu,1.86
cubu,2.72
cubu,2.76
cubu,2.66
cubu,2.58
cubu,2.34
cubu,2.12
cubu,2.44
cubu,2.56
cubu,2.72
cubu,2.54
cubu,2.44
cubu,2.82
cubu,2.56
cubu,2.46
cubu,2.36
cubu,2.5
cubu,2.1
cubu,2.46
cubu,2.18
cubu,2.82
cubu,2.52
cubu,2.78
cubu,2.8
cubu,2.8
cubu,2.76
cubu,2.68
cubu,2.62
cubu,1.78
cubu,2.52
cubu,2.68
cubu,2.62
cubu,2.66
cubu,2.78
cubu,2.68
cubu,2.56
cubu,2.64
cubu,3.04
cubu,2.42
cubu,2.44
cubu,2.74
cubu,2.22
cubu,2.66
cubu,2.44
cubu,2.64
cubu,2.62
cubu,2.62
cubu,2.54
cubu,2.36
cubu,2.54
cubu,2.8
cubu,2.78
cubu,2.84
cubu,2.58
cubu,2.72
cubu,2.78
cubu,2.72
cubu,2.74
cubu,2.86
cubu,2.5
cubu,2.44
cubu,2.88
cubu,2.76
cubu,2.54
cubu,2.84
cubu,2.68
cubu,2.4
cubu,2.44
cubu,2.68
cubu,2.86
cubu,2.74
cubu,2.5
cubu,2.38
cubu,2.68
cubu,2.78
cubu,2.5
cubu,2.92
cubu,3.02
cubu,2.7
cubu,2.62
cubu,2.82
cubu,2.62
cubu,2.62
cubu,2.52
cubu,2.4
cubu,2.74
cubu,2.62
cubu,2.58
cubu,2.68
cubu,2.48
cubu,2.68
cubu,2.48
cubu,2.34
cubu,3.02
cubu,2.68
cubu,2.42
cubu,2.52
cubu,2.78
cubu,2.78
cubu,2.2
cubu,2.72
cubu,2.38
cubu,2.68
cubu,2.7
cubu,2.9
cubu,2.58
cubu,2.32
cubu,2.74
cubu,2.46
cubu,2.6
cubu,2.68
cubu,2.4
cubu,2.5
cubu,3.06
cubu,2.92
cubu,2.84
cubu,3.14
cubu,2.92
cubu,2.84
cubu,2.7
cubu,2.84
iubu,2.72
iubu,2.4
iubu,2.78
iubu,2.62
iubu,3.26
iubu,2.52
iubu,2.96
iubu,2.74
iubu,2.88
iubu,2.52
iubu,2.7
iubu,2.68
iubu,2.88
iubu,2.64
iubu,2.5
iubu,2.7
iubu,1.76
iubu,2.86
iubu,2.86
iubu,2.52
iubu,2.92
iubu,3.08
iubu,3.12
iubu,2.62
iubu,2.98
iubu,2.7
iubu,2.88
iubu,2.84
iubu,2.78
iubu,2.74
iubu,2.58
iubu,3.34
iubu,3.04
iubu,3.12
iubu,2.22
iubu,2.78
iubu,2.58
iubu,2.62
iubu,3
iubu,2.86
iubu,2.78
iubu,2.44
iubu,2.44
iubu,2.62
iubu,2.56
iubu,2.56
iubu,2.78
iubu,2.94
iubu,2.64
iubu,2.72
iubu,3.06
iubu,2.88
iubu,2.46
iubu,2.4
iubu,2.56
iubu,2.86
iubu,2.86
iubu,2.38
iubu,3.16
iubu,2.56
iubu,3.04
iubu,2.54
iubu,2.8
iubu,3.12
iubu,3.06
iubu,2.88
iubu,2.58
iubu,3.04
iubu,3.04
iubu,2.8
iubu,2.68
iubu,2.4
iubu,2.62
iubu,2.68
iubu,2.94
iubu,2.34
iubu,2.96
iubu,3.1
iubu,2.96
iubu,2.8
iubu,2.46
iubu,2.88
iubu,2.86
iubu,2.96
iubu,2.96
iubu,2.94
iubu,3.12
iubu,3.18
iubu,2.92
iubu,2.7
iubu,2.62
iubu,2.82
iubu,2.72
iubu,2.7
iubu,2.78
iubu,2.96
iubu,2.84
iubu,3.08
iubu,2.78
iubu,3
iubu,3.12
iubu,3.3
iubu,2.82
iubu,2.58
iubu,3
iubu,2.98
iubu,2.9
iubu,2.66
iubu,2.7
iubu,2.66
iubu,2.9
iubu,2.72
iubu,2.6
iubu,3
iubu,3.02
iubu,2.6
iubu,2.82
iubu,2.76
iubu,2.96
iubu,2.86
iubu,2.74
iubu,2.4
iubu,3.06
iubu,2.8
iubu,2.44
iubu,2.74
iubu,2.26
iubu,2.24
iubu,3.1
iubu,2.56
iubu,2.8
iubu,2.04
iubu,2.92
iubu,2.74
iubu,2.1
iubu,2.54
iubu,2.38
iubu,2.92
iubu,2.58
iubu,2.7
iubu,2.84
iubu,2.94
iubu,2.66
iubu,2.14
iubu,2.52
iubu,2.82
